2020-02-29,1,1,0,0,0,0,1,1,0,0,0,0
2020-03-01,0,1,0,0,0,0,0,1,0,0,0,0
2020-03-02,0,1,0,0,0,0,0,1,0,0,0,0
2020-03-03,1,2,0,0,0,0,0,1,1,1,0,0
2020-03-04,5,7,0,0,1,1,2,3,2,3,0,0
2020-03-05,3,10,0,0,3,4,0,3,0,3,0,0
2020-03-06,8,18,2,2,1,5,3,6,1,4,1,1
2020-03-07,7,25,0,2,2,7,1,7,3,7,1,2
2020-03-08,21,46,3,5,5,12,6,13,6,13,1,3
2020-03-09,57,103,4,9,16,28,24,37,10,23,3,6
2020-03-10,69,172,8,17,11,39,24,61,24,47,2,8
2020-03-11,155,327,19,36,31,70,62,123,40,87,3,11
2020-03-12,355,682,29,65,96,166,137,260,80,167,13,24
2020-03-13,619,1301,79,144,166,332,182,442,166,333,26,50
2020-03-14,642,1943,86,230,163,495,176,618,194,527,23,73
2020-03-15,1035,2978,119,349,433,928,206,824,230,757,47,120
2020-03-16,2121,5099,305,654,740,1668,457,1281,528,1285,91,211
2020-03-17,2452,7551,343,997,783,2451,567,1848,651,1936,108,319
2020-03-18,2971,10522,482,1479,966,3417,538,2386,834,2770,150,469
2020-03-19,3707,14229,623,2102,1204,4621,556,2942,1065,3835,258,727
2020-03-20,4007,18236,723,2825,1137,5758,653,3595,1184,5019,310,1037
2020-03-21,2637,20873,490,3315,554,6312,398,3993,947,5966,248,1285
2020-03-22,2579,23452,494,3809,755,7067,317,4310,696,6662,317,1602
2020-03-23,3570,27022,730,4539,910,7977,532,4842,1189,7851,209,1811
2020-03-24,4501,31523,927,5466,1211,9188,620,5462,1393,9244,350,2161
2020-03-25,4874,36397,1067,6533,1254,10442,587,6049,1572,10816,394,2555
2020-03-26,5047,41444,999,7532,1374,11816,628,6677,1642,12458,404,2959
2020-03-27,5116,46560,1090,8622,1423,13239,656,7333,1576,14034,371,3330
2020-03-28,3479,50039,762,9384,863,14102,388,7721,1200,15234,266,3596
2020-03-29,3563,53602,701,10085,1149,15251,407,8128,1076,16310,230,3826
2020-03-30,6130,59732,1313,11398,1755,17006,806,8934,1857,18167,398,4224
2020-03-31,5459,65191,1282,12680,1514,18520,617,9551,1809,19976,237,4461
2020-04-01,5449,70640,1240,13920,1589,20109,573,10124,1784,21760,263,4724
2020-04-02,5748,76388,1291,15211,1613,21722,652,10776,1823,23583,369,5093
2020-04-03,5670,82058,1450,16661,1441,23163,672,11448,1762,25345,345,5438
2020-04-04,3865,85923,1011,17672,922,24085,385,11833,1201,26546,345,5783
2020-04-05,3781,89704,823,18495,1141,25226,358,12191,1135,27681,323,6106
2020-04-06,6353,96057,1514,20009,1462,26688,722,12913,1925,29606,730,6836
2020-04-07,6043,102100,1464,21473,1396,28084,605,13518,1948,31554,630,7466
2020-04-08,5580,107680,1305,22778,1310,29394,548,14066,1855,33409,562,8028
2020-04-09,5070,112750,1283,24061,1369,30763,559,14625,1561,34970,298,8326
2020-04-10,4511,117261,1228,25289,1153,31916,497,15122,1333,36303,300,8626
2020-04-11,3732,120993,998,26287,1129,33045,303,15425,989,37292,312,8938
2020-04-12,2888,123881,763,27050,702,33747,252,15677,918,38210,253,9191
2020-04-13,3312,127193,693,27743,1065,34812,393,16070,976,39186,185,9376
2020-04-14,4144,131337,1076,28819,1035,35847,441,16511,1302,40488,290,9666
2020-04-15,3878,135215,1069,29888,882,36729,429,16940,1181,41669,317,9983
2020-04-16,3530,138745,940,30828,884,37613,356,17296,1140,42809,210,10193
2020-04-17,3585,142330,917,31745,960,38573,330,17626,1098,43907,280,10473
2020-04-18,2171,144501,552,32297,575,39148,186,17812,705,44612,153,10626
2020-04-19,2346,146847,532,32829,635,39783,177,17989,868,45480,134,10760
2020-04-20,3792,150639,981,33810,983,40766,381,18370,1223,46703,224,10984
2020-04-21,3063,153702,641,34451,896,41662,373,18743,937,47640,216,11200
2020-04-22,3448,157150,928,35379,854,42516,383,19126,1109,48749,173,11373
2020-04-23,2841,159991,734,36113,786,43302,401,19527,792,49541,128,11501
2020-04-24,2535,162526,580,36693,629,43931,408,19935,775,50316,143,11644
2020-04-25,1596,164122,417,37110,405,44336,146,20081,540,50856,88,11732
2020-04-26,1003,165125,196,37306,332,44668,98,20179,331,51187,46,11778
2020-04-27,2288,167413,550,37856,608,45276,303,20482,721,51908,106,11884
2020-04-28,2728,170141,669,38525,711,45987,322,20804,896,52804,130,12014
2020-04-29,2341,172482,557,39082,681,46668,287,21091,692,53496,124,12138
2020-04-30,2022,174504,482,39564,600,47268,217,21308,593,54089,130,12268
2020-05-01,1887,176391,449,40013,497,47765,243,21551,620,54709,78,12346
2020-05-02,1058,177449,263,40276,263,48028,138,21689,333,55042,61,12407
2020-05-03,786,178235,153,40429,247,48275,103,21792,248,55290,35,12442
2020-05-04,1552,179787,349,40778,462,48737,215,22007,437,55727,89,12531
2020-05-05,1512,181299,294,41072,433,49170,244,22251,462,56189,79,12610
