2020-01-01,2308737,2054459,2580234
2020-01-02,4999970,4028914,5136600
2020-01-03,4964330,4002503,5120258
2020-01-04,2808309,2414338,2600329
2020-01-05,2284310,1991875,2396871
2020-01-06,5222645,4148547,5379475
2020-01-07,5379835,4278171,5464527
2020-01-08,5414487,4316069,5713331
2020-01-09,5444278,4331876,5845680
2020-01-10,5412459,4317966,5629297
2020-01-11,3005974,2591293,2782140
2020-01-12,2306238,2019651,2428858
2020-01-13,5201722,4166342,5386183
2020-01-14,5402898,4309947,5609839
2020-01-15,5500904,4379096,5725078
2020-01-16,5495717,4388694,5819776
2020-01-17,5297321,4259433,5727712
2020-01-18,2590918,2261157,2379889
2020-01-19,2276931,1996851,2347313
2020-01-20,3178270,2670971,3256390
2020-01-21,5279915,4216712,5438418
2020-01-22,5381534,4293559,5609591
2020-01-23,5408158,4310101,6005593
2020-01-24,5274738,4249546,5494674
2020-01-25,2600572,2276488,2354008
2020-01-26,2330930,2045535,2431548
2020-01-27,5217021,4168051,5392174
2020-01-28,5544156,4424878,5773305
2020-01-29,5585913,4452783,6260425
2020-01-30,5590823,4455728,5803733
2020-01-31,5369111,4328259,5516620
2020-02-01,2855770,2464270,2607225
2020-02-02,2223806,1927311,2314354
2020-02-03,5329065,4282132,5518554
2020-02-04,5536490,4418587,5728260
2020-02-05,5612672,4480086,5818978
2020-02-06,5587791,4462854,5885193
2020-02-07,5443712,4379596,5632952
2020-02-08,2934719,2526252,2720643
2020-02-09,2244242,1952840,2946991
2020-02-10,5323023,4241694,5470473
2020-02-11,5534605,4409401,5707265
2020-02-12,5510181,4403297,5746484
2020-02-13,5598819,4466071,5798316
2020-02-14,5415885,4372971,5619410
2020-02-15,2778358,2401350,2527510
2020-02-16,2309184,2013633,2414968
2020-02-17,3163834,2619098,3241044
2020-02-18,5080395,4130139,5282330
2020-02-19,5285034,4282546,5498884
2020-02-20,5236367,4236683,5332199
2020-02-21,5076329,4143147,5281049
2020-02-22,2904749,2506065,2668795
2020-02-23,2259142,1973624,2373826
2020-02-24,5326711,4252622,5483118
2020-02-25,5493427,4392461,5700694
2020-02-26,5529645,4443120,5737614
2020-02-27,5595738,4483629,5843247
2020-02-28,5409275,4362780,5606217
2020-02-29,2833511,2449161,3082068
2020-03-01,2190782,1915851,2295977
2020-03-02,5260975,4212734,5411090
2020-03-03,5432054,4365117,5616179
2020-03-04,5427441,4379780,5546138
2020-03-05,5424634,4375395,5668892
2020-03-06,5186586,4231104,5959613
2020-03-07,2765530,2420173,2563631
2020-03-08,2130014,1905940,2093701
2020-03-09,4920483,3998025,4989237
2020-03-10,4827404,3935372,5072720
2020-03-11,4657046,3808719,4893865
2020-03-12,4129919,3387683,4395548
2020-03-13,3476409,2894403,4195740
2020-03-14,1662240,1520177,1484072
2020-03-15,1155897,1083748,1233167
2020-03-16,2199350,1869444,2293101
2020-03-17,1813100,1557131,2397780
2020-03-18,1651399,1431141,1693799
2020-03-19,1448350,1273642,1521876
2020-03-20,1333602,1187040,1356471
2020-03-21,634493,627761,576017
2020-03-22,423852,443997,446886
2020-03-23,736812,704596,1408992
2020-03-24,766765,728256,852418
2020-03-25,713871,686785,783246
2020-03-26,705383,682578,1022775
2020-03-27,675794,658163,1290782
2020-03-28,346548,388101,309282
2020-03-29,275749,323790,282601
2020-03-30,562042,563432,562329
2020-03-31,531789,538864,1067735
2020-04-01,530358,539105,578356
2020-04-02,502002,511185,514302
2020-04-03,499848,513567,511399
2020-04-04,292722,339131,432029
2020-04-05,238189,285696,244679
2020-04-06,461534,483068,461045
2020-04-07,450415,472099,459688
2020-04-08,443424,466822,452473
2020-04-09,420460,449673,429835
2020-04-10,415372,452493,425620
2020-04-11,267854,324738,238718
2020-04-12,208950,265794,216594
2020-04-13,378352,417020,376693
2020-04-14,446766,480684,453493
2020-04-15,436159,472747,786984
2020-04-16,437633,474489,447191
2020-04-17,450839,491855,460648
2020-04-18,268598,328869,238667
2020-04-19,237628,296673,337873
2020-04-20,456880,496934,456859
2020-04-21,441276,480588,490448
2020-04-22,478377,513042,486749
2020-04-23,469633,502660,518429
2020-04-24,459829,500236,585511
2020-04-25,308196,370547,353665
2020-04-26,231825,291957,354636
2020-04-27,479910,517343,593639
2020-04-28,506714,540121,627025
2020-04-29,496199,528913,618784
2020-04-30,485381,519155,604853
2020-05-01,515625,553761,593565
2020-05-02,340816,407313,307122
2020-05-03,273425,337194,282063
2020-05-04,531735,566135,537152
2020-05-05,540871,573443,549526
2020-05-06,526560,558020,539581
2020-05-07,552878,581902,559896
2020-05-08,542861,576963,557057
2020-05-09,328776,399169,293959
2020-05-10,283126,346902,289935
2020-05-11,536221,569543,542556
2020-05-12,569691,597411,579078
2020-05-13,582509,606084,784643
2020-05-14,584356,605913,636005
2020-05-15,604784,635997,614793
2020-05-16,371262,438176,333932
2020-05-17,298639,361419,345946
2020-05-18,611473,633491,615389
2020-05-19,626829,645370,640385
2020-05-20,639433,658671,651930
2020-05-21,642796,665319,658685
2020-05-22,646828,674699,663490
2020-05-23,345479,408552,894787
2020-05-24,327460,394206,335030
2020-05-25,403510,456675,410515
2020-05-26,669159,696841,730595
2020-05-27,687231,712818,704593
2020-05-28,669610,694579,687446
2020-05-29,667710,702731,679076
2020-05-30,431733,513747,387815
2020-05-31,351131,427187,706912
2020-06-01,697241,745265,1501184
2020-06-02,701271,737939,738606
2020-06-03,692341,713089,811826
2020-06-04,735083,757737,755025
2020-06-05,713348,742450,730466
2020-06-06,465970,540058,438410
2020-06-07,381908,452539,387613
2020-06-08,813564,832932,817252
2020-06-09,849580,867035,942855
2020-06-10,863513,877882,1273226
2020-06-11,825254,839700,886533
2020-06-12,900856,923204,953874
2020-06-13,542116,617736,149059
2020-06-14,429402,501814,140455
2020-06-15,899966,915407,268295
2020-06-16,933193,943062,278793
2020-06-17,950081,955807,286982
2020-06-18,941916,950765,281663
2020-06-19,980821,1008183,307467
2020-06-20,570468,643833,520425
2020-06-21,446803,523663,727399
2020-06-22,997712,1021183,1052598
2020-06-23,1046369,1068651,1067552
2020-06-24,1061850,1079851,1088959
2020-06-25,1075053,1090730,1101660
2020-06-26,1093144,1123115,1113532
2020-06-27,608677,693465,550101
2020-06-28,528287,609031,552210
2020-06-29,1096717,1116918,1110283
2020-06-30,1110419,1116524,1177376
2020-07-01,1112680,1127392,1141425
2020-07-02,1156259,1187857,1178525
2020-07-03,841239,898410,881894
2020-07-04,582313,672558,754688
2020-07-05,523645,602385,554484
2020-07-06,1076719,1102949,1103525
2020-07-07,1146238,1165018,1168306
2020-07-08,1161528,1178097,1227218
2020-07-09,1195442,1229332,1219196
2020-07-10,1020555,1052366,1070679
2020-07-11,680795,751580,617497
2020-07-12,609178,696406,622797
2020-07-13,1159751,1185618,1278722
2020-07-14,1224239,1244791,1288482
2020-07-15,1226169,1247691,1315152
2020-07-16,1226667,1247829,1258204
2020-07-17,1184372,1211900,1214306
2020-07-18,758541,854048,676928
2020-07-19,566099,657361,601673
2020-07-20,1138656,1173637,1159818
2020-07-21,1216714,1246323,1240119
2020-07-22,1206790,1237706,1295567
2020-07-23,1206478,1230836,1267827
2020-07-24,1187733,1221036,1237907
2020-07-25,781656,870527,1188929
2020-07-26,581594,671834,618556
2020-07-27,1177045,1214038,1221802
2020-07-28,1212873,1250555,1285989
2020-07-29,1261801,1296155,1292031
2020-07-30,1234755,1269598,1499558
2020-07-31,1229876,1266358,1284703
2020-08-01,804834,905787,728596
2020-08-02,567414,660720,609749
2020-08-03,1239897,1277372,1303816
2020-08-04,1004562,1038997,1044500
2020-08-05,1304387,1341322,1359086
2020-08-06,1287085,1322476,1712425
2020-08-07,1244091,1288701,1288566
2020-08-08,797405,888672,720528
2020-08-09,629730,726101,719872
2020-08-10,1241655,1296907,1672785
2020-08-11,1280685,1329409,1312528
2020-08-12,1259025,1298963,1298728
2020-08-13,1250957,1290507,1286768
2020-08-14,1307783,1368051,1332474
2020-08-15,813970,925843,744186
2020-08-16,530339,621561,1271930
2020-08-17,1261831,1309392,1284776
2020-08-18,1320436,1365537,1388213
2020-08-19,1241188,1328209,1279608
2020-08-20,1353783,1400892,1388207
2020-08-21,1326480,1388871,1621278
2020-08-22,831615,930032,1082606
2020-08-23,634357,728713,675419
2020-08-24,1266306,1319652,1483556
2020-08-25,1299230,1353750,1400331
2020-08-26,1356875,1405219,1388488
2020-08-27,1310381,1355442,1363216
2020-08-28,1330587,1396060,1357225
2020-08-29,740934,835393,669690
2020-08-30,706529,809020,735243
2020-08-31,1354089,1384427,1974168
2020-09-01,1419952,1439429,1620035
2020-09-02,1434697,1442433,1473490
2020-09-03,1473489,1478872,1758454
2020-09-04,1500381,1520582,1675506
2020-09-05,955465,1037626,989391
2020-09-06,772254,853867,817391
2020-09-07,835813,903312,986336
2020-09-08,1500707,1507914,2049596
2020-09-09,1554494,1549571,2878570
2020-09-10,1484477,1480185,1535418
2020-09-11,1613182,1618664,1628880
2020-09-12,1011944,1101413,927077
2020-09-13,747954,826799,801455
2020-09-14,1543393,1525996,1570081
2020-09-15,1606422,1587467,1643680
2020-09-16,1606933,1578130,1917412
2020-09-17,1612412,1586791,1669445
2020-09-18,1631768,1627488,2183661
2020-09-19,1054274,1132218,971839
2020-09-20,771723,855860,827623
2020-09-21,1554557,1528876,1575634
2020-09-22,1622595,1590533,1660391
2020-09-23,1662631,1624648,1701832
2020-09-24,1648448,1612772,1692898
2020-09-25,1674310,1663620,1703860
2020-09-26,1040610,1124513,957690
2020-09-27,790440,873126,1149869
2020-09-28,1426322,1441523,1453830
2020-09-29,1593280,1564113,1638674
2020-09-30,1665453,1635707,2288189
2020-10-01,1727700,1694025,1770601
