2019-01-01,2326253,1980678
2019-01-02,4874104,3721290
2019-01-03,5313423,4062817
2019-01-04,5286626,4056297
2019-01-05,2866267,2397058
2019-01-06,2354612,1975723
2019-01-07,5009087,3771638
2019-01-08,5309478,4016083
2019-01-09,5456331,4138757
2019-01-10,5463690,4148776
2019-01-11,5353275,4074689
2019-01-12,2995079,2467806
2019-01-13,2267989,1890146
2019-01-14,4995237,3744522
2019-01-15,5399402,4092043
2019-01-16,5497823,4178434
2019-01-17,5530695,4214017
2019-01-18,5272348,4035554
2019-01-19,2964492,2439956
2019-01-20,2052149,1737499
2019-01-21,2506921,2036713
2019-01-22,4880020,3689037
2019-01-23,5361572,4063865
2019-01-24,5229445,3999288
2019-01-25,5380718,4109499
2019-01-26,3179064,2602508
2019-01-27,2401487,1984415
2019-01-28,5072716,3809770
2019-01-29,5548085,4213627
2019-01-30,5494088,4187788
2019-01-31,4915729,3775230
2019-02-01,5246429,4007775
2019-02-02,3031995,2500181
2019-02-03,2346226,1968954
2019-02-04,5193503,3878701
2019-02-05,5347315,4132485
2019-02-06,5738076,4372678
2019-02-07,5714167,4346913
2019-02-08,5649411,4309854
2019-02-09,3198929,2648659
2019-02-10,2387639,2007447
2019-02-11,5210783,3903716
2019-02-12,5070288,3898371
2019-02-13,5599227,4235865
2019-02-14,5809194,4393248
2019-02-15,5489728,4199565
2019-02-16,3213802,2630584
2019-02-17,2513851,2093922
2019-02-18,3053702,2407876
2019-02-19,5065442,3878596
2019-02-20,5169504,3977474
2019-02-21,5308104,4056216
2019-02-22,5340358,4123977
2019-02-23,3146820,2585521
2019-02-24,2268503,1894028
2019-02-25,5129256,3849849
2019-02-26,5603065,4267908
2019-02-27,5637508,4274855
2019-02-28,5730729,4351763
2019-03-01,5584409,4254418
2019-03-02,3068126,2547411
2019-03-03,2465006,2060477
2019-03-04,4134253,3202303
2019-03-05,5602595,4240691
2019-03-06,5779257,4383853
2019-03-07,5785275,4380939
2019-03-08,5721528,4376748
2019-03-09,3380387,2799319
2019-03-10,2442969,2073684
2019-03-11,5425572,4097006
2019-03-12,5789747,4402880
2019-03-13,5848857,4459590
2019-03-14,5836142,4454226
2019-03-15,5700764,4389880
2019-03-16,3369972,2779731
2019-03-17,2612960,2183177
2019-03-18,5312197,4034884
2019-03-19,5651495,4313414
2019-03-20,5757966,4391341
2019-03-21,5637675,4327594
2019-03-22,5493558,4233373
2019-03-23,3223544,2652853
2019-03-24,2572322,2141121
2019-03-25,5333504,4073626
2019-03-26,5699661,4351434
2019-03-27,5780624,4433574
2019-03-28,5843614,4454325
2019-03-29,5654146,4352838
2019-03-30,3402233,2788905
2019-03-31,2477103,2092523
2019-04-01,5429148,4117684
2019-04-02,5796527,4414238
2019-04-03,5908254,4495337
2019-04-04,5922747,4524090
2019-04-05,5722309,4399101
2019-04-06,3505380,2863696
2019-04-07,2714577,2267014
2019-04-08,5426926,4131839
2019-04-09,5801157,4437689
2019-04-10,5865261,4475630
2019-04-11,5873033,4493347
2019-04-12,5713418,4398256
2019-04-13,3486961,2831760
2019-04-14,2665301,2225437
2019-04-15,5435215,4159855
2019-04-16,5866605,4484812
2019-04-17,5969223,4585261
2019-04-18,5874432,4507741
2019-04-19,4830832,3825686
2019-04-20,3087750,2584739
2019-04-21,2479577,2075807
2019-04-22,4893499,3807823
2019-04-23,5395338,4195434
2019-04-24,5451755,4262482
2019-04-25,5518672,4306304
2019-04-26,5126143,4024094
2019-04-27,3364547,2761018
2019-04-28,2639605,2192266
2019-04-29,5458327,4145383
2019-04-30,5726293,4377649
2019-05-01,5859962,4482727
2019-05-02,5886693,4490534
2019-05-03,5764293,4434867
2019-05-04,3453993,2822990
2019-05-05,2553917,2129839
2019-05-06,5480907,4161877
2019-05-07,5820459,4441275
2019-05-08,5871462,4498089
2019-05-09,5907553,4497988
2019-05-10,5639618,4331874
2019-05-11,3512970,2874948
2019-05-12,2280294,1931640
2019-05-13,5355199,4091665
2019-05-14,5795190,4459187
2019-05-15,5899012,4525917
2019-05-16,5962771,4579937
2019-05-17,5802600,4481086
2019-05-18,3555295,2925890
2019-05-19,2808202,2329426
2019-05-20,5497025,4238965
2019-05-21,5870380,4541074
2019-05-22,5960055,4602513
2019-05-23,5783108,4476902
2019-05-24,5473358,4269686
2019-05-25,3184279,2651705
2019-05-26,2676941,2266671
2019-05-27,2645108,2169486
2019-05-28,5378675,4170848
2019-05-29,5773125,4476019
2019-05-30,5773742,4472414
2019-05-31,5719404,4453678
2019-06-01,3354851,2789753
2019-06-02,2696569,2284884
2019-06-03,5439404,4209070
2019-06-04,5517685,4316652
2019-06-05,5821607,4515622
2019-06-06,5711150,4441122
2019-06-07,5659830,4421998
2019-06-08,3503391,2894869
2019-06-09,2761525,2342849
2019-06-10,5263602,4101231
2019-06-11,5673881,4410576
2019-06-12,5934524,4597625
2019-06-13,5787894,4496733
2019-06-14,5696508,4436499
2019-06-15,3408852,2826214
2019-06-16,2528635,2147115
2019-06-17,5351189,4143596
2019-06-18,5653263,4399390
2019-06-19,5758405,4481088
2019-06-20,5721763,4447238
2019-06-21,5575193,4360448
2019-06-22,3445367,2843577
2019-06-23,2792880,2361084
2019-06-24,5350906,4174474
2019-06-25,5547131,4321171
2019-06-26,5839618,4581636
2019-06-27,5704662,4479061
2019-06-28,5522858,4347507
2019-06-29,3363023,2797607
2019-06-30,3103061,2568026
2019-07-01,5230207,4149257
2019-07-02,5365511,4242146
2019-07-03,5296167,4185640
2019-07-04,2791425,2282659
2019-07-05,3986353,3328932
2019-07-06,2731102,2327236
2019-07-07,2404126,2037641
2019-07-08,5076312,3996618
2019-07-09,5462243,4308540
2019-07-10,5617699,4437449
2019-07-11,5610149,4430388
2019-07-12,5347088,4230749
2019-07-13,3267235,2720895
2019-07-14,2517786,2160280
2019-07-15,5202532,4113427
2019-07-16,5556674,4387570
2019-07-17,5574660,4395898
2019-07-18,5413470,4292186
2019-07-19,5200927,4140971
2019-07-20,2912470,2483298
2019-07-21,2302083,1983516
2019-07-22,5034258,4007018
2019-07-23,5211412,4153672
2019-07-24,5555839,4413280
2019-07-25,5601449,4470970
2019-07-26,5331081,4265127
2019-07-27,3244490,2758635
2019-07-28,2590781,2232133
2019-07-29,5072021,4023035
2019-07-30,5398545,4322240
2019-07-31,5441322,4348016
2019-08-01,5440324,4342371
2019-08-02,5239167,4206359
