2020-07-22,793,1267.73,330,221318
2020-07-23,1147,1287.1,310,221628
2020-07-24,1189,1319.0,302,221930
2020-07-25,1683,1834.94,153,222083
2020-07-26,1305,1997.35,140,222223
2020-07-27,1167,1414.77,315,222538
2020-07-28,1277,1968.11,313,222851
2020-07-29,1326,1623.07,289,223140
2020-07-30,1186,1399.0,273,223413
2020-07-31,1259,1252.36,264,223677
2020-08-01,1831,1928.79,189,223866
2020-08-02,1532,3042.75,137,224003
2020-08-03,1254,1779.95,348,224351
2020-08-04,855,1768.3,187,224538
2020-08-05,1455,1383.35,301,224839
2020-08-06,1377,1430.37,294,225133
2020-08-07,994,1483.74,258,225391
2020-08-08,1783,1688.75,161,225552
2020-08-09,1536,1779.05,133,225685
2020-08-10,1297,1576.43,311,225996
2020-08-11,1376,1599.37,265,226261
2020-08-12,1375,1579.9,320,226581
2020-08-13,1199,1605.37,277,226858
2020-08-14,1621,1589.67,278,227136
2020-08-15,2002,2760.55,151,227287
2020-08-16,827,1741.12,140,227427
2020-08-17,1268,1475.63,330,227757
2020-08-18,1431,1336.32,284,228041
2020-08-19,1270,1710.12,258,228299
2020-08-20,1319,1353.75,227,228526
2020-08-21,1529,1985.47,253,228779
2020-08-22,1689,1429.98,138,228917
2020-08-23,1571,2087.48,151,229068
2020-08-24,1258,1375.88,300,229368
2020-08-25,1205,1379.23,284,229652
2020-08-26,1566,1758.77,313,229965
2020-08-27,1115,1232.8,275,230240
2020-08-28,1236,1192.02,286,230526
2020-08-29,1544,1552.73,128,230654
2020-08-30,1709,2118.95,184,230838
2020-08-31,1243,1271.63,313,231151
2020-09-01,1224,2875.41,296,231447
2020-09-02,1147,1151.87,274,231721
2020-09-03,1186,1063.85,274,231995
2020-09-04,1500,1526.34,230,232225
2020-09-05,1759,6006.76,158,232383
2020-09-06,1679,1893.38,208,232591
2020-09-07,1516,2258.89,218,232809
2020-09-08,1374,3385.53,395,233204
2020-09-09,1361,1080.25,353,233557
2020-09-10,880,859.82,322,233879
2020-09-11,1592,1269.8,314,234193
2020-09-12,1941,1533.87,202,234395
2020-09-13,1548,1687.98,258,234653
2020-09-14,1252,1065.93,434,235087
2020-09-15,1186,903.55,341,235428
2020-09-16,1272,1018.78,370,235798
2020-09-17,1402,1081.23,356,236154
2020-09-18,1488,1130.9,290,236444
2020-09-19,1544,1564.71,160,236604
2020-09-20,1325,2614.5,158,236762
2020-09-21,1065,1132.88,514,237276
2020-09-22,1120,1055.2,407,237683
2020-09-23,1155,1336.28,533,238216
2020-09-24,1205,910.49,470,238686
2020-09-25,1362,1937.3,455,239141
2020-09-26,1701,1398.21,279,239420
2020-09-27,1426,2179.83,382,239802
2020-09-28,1170,1142.62,435,240237
2020-09-29,793,894.27,688,240925
2020-09-30,1209,947.44,588,241513
2020-10-01,2332,1482.4,619,242132
2020-10-02,2216,1005.22,597,242729
2020-10-03,2796,1394.04,279,243008
2020-10-04,2544,1414.42,339,243347
2020-10-05,2072,842.07,853,244200
2020-10-06,2586,1015.04,566,244766
2020-10-07,2080,858.85,543,245309
2020-10-08,2188,788.51,523,245832
2020-10-09,2350,951.78,527,246359
2020-10-10,2735,2018.52,313,246672
2020-10-11,2017,1670.27,279,246951
2020-10-12,468,709.1,516,247467
2020-10-13,1014,701.44,586,248053
2020-10-14,1186,1288.34,579,248632
2020-10-15,1192,2279.77,599,249231
2020-10-16,413,759.97,502,249733
2020-10-17,1263,2242.79,367,250100
2020-10-18,1057,1480.19,424,250524
2020-10-19,950,796.77,628,251152
2020-10-20,986,803.76,606,251758
2020-10-21,1004,886.43,656,252414
2020-10-22,1051,782.68,756,253170
2020-10-23,1101,821.79,601,253771
2020-10-24,1351,1303.67,386,254157
2020-10-25,820,1469.55,364,254521
2020-10-26,632,1425.87,691,255212
2020-10-27,943,856.37,735,255947
2020-10-28,725,706.53,777,256724
2020-10-29,239,574.88,615,257339
2020-10-30,413,666.83,646,257985
2020-10-31,813,1466.66,403,258388
2020-11-01,345,1009.76,498,258886
2020-11-02,584,629.12,956,259842
2020-11-03,696,835.36,892,260734
2020-11-04,727,1887.25,1096,261830
2020-11-05,857,1769.13,1127,262957
2020-11-06,941,1114.66,1023,263980
2020-11-07,1354,2080.01,833,264813
2020-11-08,1283,1930.38,786,265599
2020-11-09,935,1157.47,1533,267132
2020-11-10,980,1068.45,1561,268693
2020-11-11,502,909.55,1491,270184
2020-11-12,393,652.16,1471,271655
2020-11-13,556,3752.35,1478,273133
2020-11-14,892,1414.89,1007,274140
2020-11-15,518,1433.61,876,275016
2020-11-16,619,984.27,1788,276804
2020-11-17,579,772.05,1694,278498
2020-11-18,504,603.7,1686,280184
2020-11-19,599,2751.53,1803,281987
2020-11-20,843,915.72,1738,283725
2020-11-21,1171,1541.07,1247,284972
2020-11-22,621,1045.42,1120,286092
2020-11-23,508,684.57,2236,288328
2020-11-24,610,724.56,1967,290295
2020-11-25,743,837.97,2241,292536
2020-11-26,528,1513.05,730,293266
2020-11-27,740,2351.83,2145,295411
2020-11-28,694,1293.68,1687,297098
2020-11-29,682,1448.71,1596,298694
2020-11-30,271,806.05,2444,301138
