2020-02-29,3082068,3286628,204560,0.94,1,1
2020-03-01,2295977,2400293,104316,0.96,0,1
2020-03-02,5411090,4449907,-961183,1.22,0,1
2020-03-03,5616179,5932869,316690,0.95,1,2
2020-03-04,5546138,6261445,715307,0.89,5,7
2020-03-05,5668892,5964633,295741,0.95,3,10
2020-03-06,5959613,5697265,-262348,1.05,8,18
2020-03-07,2563631,2901706,338075,0.88,7,25
2020-03-08,2093701,2164013,70312,0.97,21,46
2020-03-09,4989237,5639104,649867,0.88,57,103
2020-03-10,5072720,5988122,915402,0.85,69,172
2020-03-11,4893865,6135339,1241474,0.8,155,327
2020-03-12,4395548,6041526,1645978,0.73,355,682
2020-03-13,4195740,5697265,1501525,0.74,619,1301
2020-03-14,1484072,2867723,1383651,0.52,642,1943
2020-03-15,1233167,2400293,1167126,0.51,1035,2978
2020-03-16,2293101,5523170,3230069,0.42,2121,5099
2020-03-17,2397780,5859589,3461809,0.41,2452,7551
2020-03-18,1693799,5978977,4285178,0.28,2971,10522
2020-03-19,1521876,6017853,4495977,0.25,3707,14229
2020-03-20,1356471,5660408,4303937,0.24,4007,18236
2020-03-21,576017,2884715,2308698,0.2,2637,20873
2020-03-22,446886,2400293,1953407,0.19,2579,23452
2020-03-23,1408992,5581137,4172145,0.25,3570,27022
2020-03-24,852418,5923856,5071438,0.14,4501,31523
2020-03-25,783246,6057158,5273912,0.13,4874,36397
2020-03-26,1022775,6298276,5275501,0.16,5047,41444
2020-03-27,1290782,5697265,4406483,0.23,5116,46560
2020-03-28,309282,3030373,2721091,0.1,3479,50039
2020-03-29,282601,2507676,2225075,0.11,3563,53602
2020-03-30,562329,5651748,5089419,0.1,6130,59732
2020-03-31,1067735,5923856,4856121,0.18,5459,65191
2020-04-01,578356,6121022,5542666,0.09,5449,70640
2020-04-02,514302,6151593,5637291,0.08,5748,76388
2020-04-03,511399,5898109,5386710,0.09,5670,82058
2020-04-04,432029,2940302,2508273,0.15,3865,85923
2020-04-05,244679,2763961,2519282,0.09,3781,89704
2020-04-06,461045,6616286,6155241,0.07,6353,96057
2020-04-07,459688,6016884,5557196,0.08,6043,102100
2020-04-08,452473,6076890,5624417,0.07,5580,107680
2020-04-09,429835,6393388,5963553,0.07,5070,112750
2020-04-10,425620,5891050,5465430,0.07,4511,117261
2020-04-11,238718,2931739,2693021,0.08,3732,120993
2020-04-12,216594,2711279,2494685,0.08,2888,123881
2020-04-13,376693,5656156,5279463,0.07,3312,127193
2020-04-14,453493,6711233,6257740,0.07,4144,131337
2020-04-15,786984,6179382,5392398,0.13,3878,135215
2020-04-16,447191,6078502,5631311,0.07,3530,138745
2020-04-17,460648,5016597,4555949,0.09,3585,142330
2020-04-18,238667,2529442,2290775,0.09,2171,144501
2020-04-19,337873,2543613,2205740,0.13,2346,146847
2020-04-20,456859,5098861,4642002,0.09,3792,150639
2020-04-21,490448,5623962,5133514,0.09,3063,153702
2020-04-22,486749,5655701,5168952,0.09,3448,157150
2020-04-23,518429,5728748,5210319,0.09,2841,159991
2020-04-24,585511,5307171,4721660,0.11,2535,162526
2020-04-25,353665,3273119,2919454,0.11,1596,164122
2020-04-26,354636,3406639,3052003,0.1,1003,165125
2020-04-27,593639,6054801,5461162,0.1,2288,167413
2020-04-28,627025,6406022,5778997,0.1,2728,170141
2020-04-29,618784,6066956,5448172,0.1,2341,172482
2020-04-30,604853,6559128,5954275,0.09,2022,174504
